Ranking,Company,Nation,HQ,Sector,Industry,Web
94,Electricite de France,France,Paris,Energy,Utilities,www.edf.fr
95,State Farm Insurance Cos.,U.S.,"Bloomington, Ill.",Financials,Insurance: Property and Casualty (Mutual),www.statefarm.com
96,Pacific Construction Group,China,"Urumqi, China",Engineering & Construction,Engineering & Construction,www.cpcg.com.cn
97,Sony,Japan,Tokyo,Technology,"Electronics, Electrical Equip.",www.sony.net
98,Sinochem Group,China,Beijing,Wholesalers,Trading,www.sinochem.com
99,JXTG Holdings,Japan,Tokyo,Energy,Petroleum Refining,www.hd.jxtg-group.co.jp
100,Johnson & Johnson,U.S.,"New Brunswick, N.J.",Health Care,Pharmaceuticals,www.jnj.com
101,China Energy Investment,China,Beijing,Energy,"Mining, Crude-Oil Production",www.shenhuagroup.com.cn
102,Tesco,Britain,"Welwyn Garden City, Britain",Food & Drug Stores,Food & Drug Stores,www.tescoplc.com
103,AEON,Japan,"Chiba, Japan",Food & Drug Stores,Food & Drug Stores,www.aeon.info
104,Engie,France,"Courbevoie, France",Energy,Energy,www.engie.com
105,Airbus Group,Netherlands,"Leiden, Netherlands",Aerospace & Defense,Aerospace & Defense,www.airbusgroup.com
106,Freddie Mac,U.S.,"McLean, Va.",Financials,Diversified Financials,www.freddiemac.com
107,Pemex,Mexico,Mexico City,Energy,"Mining, Crude-Oil Production",www.pemex.com
108,Peugeot,France,"Rueil-Malmaison, France",Motor Vehicles & Parts,Motor Vehicles & Parts,www.groupe-psa.com
109,China Minmetals,China,Beijing,Materials,Metals,www.minmetals.com
110,China Southern Power Grid,China,"Guangzhou, China",Energy,Utilities,www.csg.cn
111,Amer International Group,China,"Shenzhen, China",Materials,Metals,www.amer.com.cn
112,BASF,Germany,"Ludwigshafen, Germany",Chemicals,Chemicals,www.basf.com
113,China Post Group,China,Beijing,Transportation,"Mail, Package, and Freight Delivery",www.chinapost.com.cn
114,Panasonic,Japan,"Osaka, Japan",Technology,"Electronics, Electrical Equip.",www.panasonic.com/global
115,Rosneft Oil,Russia,Moscow,Energy,Petroleum Refining,www.rosneft.com
116,Target,U.S.,Minneapolis,Retailing,General Merchandisers,www.target.com
117,People's Insurance Co. of China,China,Beijing,Financials,Insurance: Property and Casualty (Stock),www.picc.com.cn
118,Royal Ahold Delhaize,Netherlands,"Zaandam, Netherlands",Food & Drug Stores,Food & Drug Stores,www.aholddelhaize.com
119,Deutsche Post DHL Group,Germany,"Bonn, Germany",Transportation,"Mail, Package, and Freight Delivery",www.dpdhl.com
120,Munich Re Group,Germany,Munich,Financials,"Insurance: Life, Health (stock)",www.munichre.com
121,Societe Generale,France,Paris,Financials,Banks: Commercial and Savings,www.societegenerale.com
122,COFCO,China,Beijing,Wholesalers,Trading,www.cofco.com
123,U.S. Postal Service,U.S.,Washington,Transportation,"Mail, Package, and Freight Delivery",www.usps.com
124,Beijing Automotive Group,China,Beijing,Motor Vehicles & Parts,Motor Vehicles & Parts,www.baicgroup.com.cn
125,China FAW Group,China,"Changchun, China",Motor Vehicles & Parts,Motor Vehicles & Parts,www.faw.com.cn
126,Nippon Life Insurance,Japan,"Osaka, Japan",Financials,"Insurance: Life, Health (Mutual)",www.nissay.co.jp
127,ArcelorMittal,Luxembourg,Luxembourg,Materials,Metals,www.arcelormittal.com
128,Lowe's,U.S.,"Mooresville, N.C.",Retailing,Specialty Retailers,www.lowes.com
129,Mitsubishi,Japan,Tokyo,Wholesalers,Trading,www.mitsubishicorp.com
130,Marubeni,Japan,Tokyo,Wholesalers,Trading,www.marubeni.com
131,Marathon Petroleum,U.S.,"Findlay, Ohio",Energy,Petroleum Refining,www.marathonpetroleum.com
132,Tewoo Group,China,"Tianjin, China",Wholesalers,Trading,www.tewoo.com
133,Itau Unibanco Holding,Brazil,Sao Paulo,Financials,Banks: Commercial and Savings,www.itau.com.br
134,Renault,France,"Boulogne-Billancourt, France",Motor Vehicles & Parts,Motor Vehicles & Parts,www.groupe.renault.com
135,Procter & Gamble,U.S.,Cincinnati,Household Products,Household and Personal Products,www.pg.com
136,MetLife,U.S.,New York City,Financials,"Insurance: Life, Health (stock)",www.metlife.com
137,Indian Oil,India,New Delhi,Energy,Petroleum Refining,www.iocl.com
138,UPS,U.S.,Atlanta,Transportation,"Mail, Package, and Freight Delivery",www.ups.com
139,Aegon,Netherlands,The Hague,Financials,"Insurance: Life, Health (stock)",www.aegon.com
140,China North Industries Group,China,Beijing,Aerospace & Defense,Aerospace & Defense,www.norincogroup.com.cn
141,China Telecommunications,China,Beijing,Telecommunications,Telecommunications,www.chinatelecom.com.cn
142,Zurich Insurance Group,Switzerland,Zurich,Financials,Insurance: Property and Casualty (Stock),www.zurich.com
143,Aviva,Britain,London,Financials,"Insurance: Life, Health (stock)",www.aviva.com
144,PepsiCo,U.S.,"Purchase, N.Y.","Food, Beverages & Tobacco",Food Consumer Products,www.pepsico.com
145,Dai-ichi Life Holdings,Japan,Tokyo,Financials,"Insurance: Life, Health (stock)",www.dai-ichi-life-hd.com
146,Intel,U.S.,"Santa Clara, Calif.",Technology,Semiconductors and Other Electronic Components,www.intel.com
147,DowDuPont,U.S.,"Wilmington, Del.",Chemicals,Chemicals,http://www.dow-dupont.com
