Magazine,Date,Author,Title,Url,Company
the-washington-post,2019-07-22T02:37:08Z,,"Emerging budget deal likely to include few or no actual spending cuts, while lifting debt limit for two years - The Washington Post",https://www.washingtonpost.com/business/2019/07/22/emerging-budget-deal-likely-include-few-or-no-actual-spending-cuts-while-lifting-debt-limit-two-years/,Google
the-washington-post,2019-07-22T15:08:32Z,,"Trump popped in on a wedding at his golf course, and a ‘U-S-A!’ chant broke out - The Washington Post",https://www.washingtonpost.com/arts-entertainment/2019/07/22/trump-popped-wedding-his-golf-course-u-s-a-chant-broke-out/,Google
the-washington-post,2019-07-22T20:14:48Z,https://www.facebook.com/mariasacchettireporter,Trump administration to expand its power to deport undocumented immigrants - The Washington Post,https://www.washingtonpost.com/immigration/trump-administration-to-expand-its-power-to-deport-undocumented-immigrants/2019/07/22/76d09bc4-ac8e-11e9-bc5c-e73b603e7f38_story.html,Google
the-washington-post,2019-07-23T01:18:45Z,https://www.facebook.com/rick.maese,"Katie Ledecky withdraws from two races at FINA world championships, citing medical issues - The Washington Post",https://www.washingtonpost.com/sports/2019/07/23/katie-ledecky-withdraws-meter-freestyle-fina-world-championships-citing-medical-issues/,Google
the-washington-post,2019-07-22T10:46:57Z,,A Democratic candidate claimed she removed 77 bullets from Pulse shooting victims. It was all a lie. - The Washington Post,https://www.washingtonpost.com/nation/2019/07/22/democratic-candidate-claimed-she-removed-bullets-pulse-shooting-victims-it-was-all-lie/,Google
the-washington-post,2019-07-22T09:41:29Z,,A meme called four Democrats ‘The Jihad Squad.’ A state GOP group is sorry for sharing it. - The Washington Post,https://www.washingtonpost.com/nation/2019/07/22/meme-called-four-democrats-jihad-squad-state-gop-group-is-sorry-sharing-it/,Google
the-washington-post,2019-07-22T19:14:54Z,https://www.facebook.com/helena.andrews.77,Chelsea Clinton welcomes third child with husband Marc Mezvinsky - The Washington Post,https://www.washingtonpost.com/arts-entertainment/2019/07/22/chelsea-clinton-welcomes-third-child-with-husband-marc-mezvinsky/,Google
the-washington-post,2019-07-22T16:26:10Z,,Trump Fed nominee Judy Shelton calls for 50 basis point cut to interest rates in July - The Washington Post,https://www.washingtonpost.com/business/2019/07/22/trump-fed-nominee-judy-shelton-calls-basis-point-cut-interest-rates-july/,Google
the-washington-post,2019-07-22T16:51:39Z,,Facebook vs the feds: The tech giant will have to pay a record fine for violating users’ privacy. But the FTC wanted more. - The Washington Post,https://www.washingtonpost.com/technology/2019/07/22/facebook-vs-feds-inside-story-multi-billion-dollar-tech-giants-privacy-war-with-washington/,Google
the-washington-post,2019-07-22T12:08:53Z,Cat Zakrzewski,The Technology 202: Knight Foundation invests $50 million into research on tech's impact on democracy,https://www.washingtonpost.com/news/powerpost/paloma/the-technology-202/2019/07/22/the-technology-202-knight-foundation-invests-50-million-into-research-on-tech-s-impact-on-democracy/5d34a0541ad2e5592fc35a70/,Google
the-washington-post,2019-07-22T11:39:12Z,Joseph Marks,The Cybersecurity 202: Trump's commitment to Huawei bans faces stress test today,https://www.washingtonpost.com/news/powerpost/paloma/the-cybersecurity-202/2019/07/22/the-cybersecurity-202-trump-s-commitment-to-huawei-bans-faces-stress-test-today/5d34ee571ad2e5592fc35a74/,Google
the-washington-post,2019-07-22T16:51:39Z,,Facebook vs the feds: The tech giant will have to pay a record fine for violating users’ privacy. But the FTC wanted more. - The Washington Post,https://www.washingtonpost.com/technology/2019/07/22/facebook-vs-feds-inside-story-multi-billion-dollar-tech-giants-privacy-war-with-washington/,Microsoft
the-washington-post,2019-07-22T14:14:43Z,James Hohmann,The Daily 202: Trump is mum on Hong Kong as mobs attack protesters and China challenges U.S. influence,https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2019/07/22/daily-202-07222019-daily202/5d355f4ba7a0a46ab00883d5/,Microsoft
the-washington-post,2019-07-22T11:39:12Z,Joseph Marks,The Cybersecurity 202: Trump's commitment to Huawei bans faces stress test today,https://www.washingtonpost.com/news/powerpost/paloma/the-cybersecurity-202/2019/07/22/the-cybersecurity-202-trump-s-commitment-to-huawei-bans-faces-stress-test-today/5d34ee571ad2e5592fc35a74/,Intel
the-washington-post,2019-07-22T11:27:07Z,Tory Newmyer,The Finance 202: Elizabeth Warren's wealth tax is popular. But voters worry it won't fly.,https://www.washingtonpost.com/news/powerpost/paloma/the-finance-202/2019/07/22/the-finance-202-elizabeth-warren-s-wealth-tax-is-popular-but-voters-worry-it-won-t-fly/5d34e835a7a0a46ab00883d1/,Intel
the-washington-post,2019-07-22T14:14:43Z,James Hohmann,The Daily 202: Trump is mum on Hong Kong as mobs attack protesters and China challenges U.S. influence,https://www.washingtonpost.com/news/powerpost/paloma/daily-202/2019/07/22/daily-202-07222019-daily202/5d355f4ba7a0a46ab00883d5/,Intel
the-washington-post,2019-07-22T16:51:39Z,,Facebook vs the feds: The tech giant will have to pay a record fine for violating users’ privacy. But the FTC wanted more. - The Washington Post,https://www.washingtonpost.com/technology/2019/07/22/facebook-vs-feds-inside-story-multi-billion-dollar-tech-giants-privacy-war-with-washington/,Facebook
the-washington-post,2019-07-22T09:41:29Z,,A meme called four Democrats ‘The Jihad Squad.’ A state GOP group is sorry for sharing it. - The Washington Post,https://www.washingtonpost.com/nation/2019/07/22/meme-called-four-democrats-jihad-squad-state-gop-group-is-sorry-sharing-it/,Facebook
the-washington-post,2019-07-22T13:33:23Z,Alex Horton,"Officer suggests Ocasio-Cortez should be shot, after he read fake news on Facebook",https://www.washingtonpost.com/politics/2019/07/22/officer-suggests-ocasio-cortez-should-be-shot-after-he-read-fake-news-facebook/,Facebook
the-washington-post,2019-07-22T09:00:37Z,Jason Samenow,D.C.-area forecast: Steamy today with heavy storms possible late before midweek provides major relief from heat,https://www.washingtonpost.com/weather/2019/07/22/dc-area-forecast-steamy-today-with-heavy-storms-possible-late-before-major-relief-heat-midweek/,Facebook
the-washington-post,2019-07-23T09:00:05Z,Matt Rogers,"D.C.-area forecast: Cooler with showers today, then comfortably warm and bright through Friday",https://www.washingtonpost.com/weather/2019/07/23/dc-area-forecast-cooler-with-showers-today-then-comfortably-warm-bright-through-friday/,Facebook
