Company,Nation
Compass Group,Britain
Westpac Banking,Australia
Migros Group,Switzerland
Twenty-First Century Fox,U.S.
Phoenix Pharma,Germany
Medipal Holdings,Japan
Veolia Environnement,France
Kansai Electric Power,Japan
AbbVie,U.S.
Royal Philips,Netherlands
Sumitomo Electric Industries,Japan
Danone,France
Suning.com Group,China
Ansteel Group,China
Gas Natural Fenosa,Spain
Bank of Nova Scotia,Canada
Shougang Group,China
Wistron,Taiwan
Abbott Laboratories,U.S.
La Poste,France
Koc Holding,Turkey
CPC,Taiwan
Progressive,U.S.
GS Caltex,South Korea
Mapfre Group,Spain
Arrow Electronics,U.S.
Adecco Group,Switzerland
East Japan Railway,Japan
LafargeHolcim,Switzerland
Altice,Netherlands
Onex,Canada
Australia & New Zealand Banking Group,Australia
Anglo American,Britain
Randstad Holding,Netherlands
Kraft Heinz,U.S.
Plains GP Holdings,U.S.
British American Tobacco,Britain
CFE,Mexico
Gilead Sciences,U.S.
Xinjiang Guanghui Industry Investment,China
Nokia,Finland
Mondelez International,U.S.
International Airlines Group,Britain
Northrop Grumman,U.S.
Chubu Electric Power,Japan
NEC,Japan
Yango Longking Group,China
China Taiping Insurance Group,China
Flex,Singapore
Raytheon,U.S.
China Datang,China
PKN ORLEN Group,Poland
Ultrapar Holdings,Brazil
KB Financial Group,South Korea
Achmea,Netherlands
Macy's,U.S.
Emirates Group,United Arab Emirates
Heineken Holding,Netherlands
Suncor Energy,Canada
Energie Baden-Wurttemberg,Germany
Michelin,France
Fubon Financial Holding,Taiwan
Adidas,Germany
Shanxi Jincheng Anthracite Coal Mining Group,China
Heraeus Holding,Germany
DXC Technology,U.S.
National Australia Bank,Australia
Ceconomy,Germany
Fomento Economico Mexicano,Mexico
US Foods Holding,U.S.
Taikang Insurance Group,China
U.S. Bancorp,U.S.
Boehringer Ingelheim,Germany
Rabobank Group,Netherlands
CJ Corp.,South Korea
Yangquan Coal Industry Group,China
Shanxi LuAn Mining Group,China
Henan Energy & Chemical,China
Datong Coal Mine Group,China
BAE Systems,Britain
