Words,Category,Topic,Month
technology,제품/기술/서비스,Topic 0,08
home,제품/기술/서비스,Topic 0,08
galaxy,제품/기술/서비스,Topic 0,08
design,제품/기술/서비스,Topic 0,08
thing,제품/기술/서비스,Topic 0,08
customer,제품/기술/서비스,Topic 0,08
software,제품/기술/서비스,Topic 0,08
base,제품/기술/서비스,Topic 0,08
share,제품/기술/서비스,Topic 0,08
security,제품/기술/서비스,Topic 1,08
researcher,제품/기술/서비스,Topic 1,08
attack,제품/기술/서비스,Topic 1,08
device,제품/기술/서비스,Topic 1,08
group,제품/기술/서비스,Topic 1,08
service,제품/기술/서비스,Topic 1,08
program,제품/기술/서비스,Topic 1,08
tool,제품/기술/서비스,Topic 1,08
research,제품/기술/서비스,Topic 1,08
platform,제품/기술/서비스,Topic 1,08
report,제품/기술/서비스,Topic 1,08
product,제품/기술/서비스,Topic 1,08
network,제품/기술/서비스,Topic 1,08
target,제품/기술/서비스,Topic 1,08
issue,제품/기술/서비스,Topic 1,08
